question,options,right_answer
"1945年7月26日,中美苏三国发表了敦促日本投降的《波茨坦公告》.","['正确', '错误']",['错误']
毛泽东在井冈山主持制定中国共产党历史上第一个土地法的时间是(),"['1928年12月', '1927年1月', '1929年12月', '1930年6月']",['1928年12月']
"<p>既反保守又反冒进,在综合平衡中稳步前进的经济建设方针,是中国共产党在()上提出的.</p>","['第七届二中全会', '第八次代表大会', '第十一届三中全会']",['第八次代表大会']
2013年习近平提出了新时期好干部的20字标准：信念坚定、()、勤政务实、敢于担当、清正廉洁.,"['为民服务', '行必责实', '言必责实']",['为民服务']
"2017年5月26日下午,中共中央政治局就推动形成绿色发展方式和生活方式进行第四十一次集体学习.习近平就推动形成绿色发展方式和生活方式提出()项重点任务.","['3', '4', '5', '6']",['6']
"1931年九一八事变爆发后,全面抗战由此开始.","['正确', '错误']",['错误']
"1949年3月,党的七届二中全会在河北西柏坡召开.会议着重讨论党的工作重心实行战略转移,即()的问题.","['从乡村转到城市', '从农业国转变为工业国', '从新民主主义社会转到社会主义社会']",['从乡村转到城市']
"1978年2月召开的党的(),高度评价了实践是检验真理唯一标准的大讨论,在全党重新确立了实事求是的思想路线.","['十一届二中全会', '十一届三中全会', '十一届四中全会']",['十一届三中全会']
"2017年4月18日,中央全面深化改革领导小组第三十四次会议强调,对省级人民政府履行教育职责进行评价,要坚持以()为中心.","['A、扩大办学规模', 'B、提高入学比率', 'C、增加经费投入', 'D、提高教育教学质量']",['D、提高教育教学质量']
共产党历来把立党为公()作为最根本的执政理念.,"['实事求是', '执政为民', '与时俱进', '严于律己']",['执政为民']
"2017年5月26日下午,中共中央政治局就推动形成绿色发展方式和生活方式进行第四十一次集体学习.习近平在主持学习时强调,要实行领导干部()","['A、自然资源资产离任审计', 'B、自然资源资产任期核算', 'C、自然资源资产离任核算', 'D、自然资源资产任期登记']",['A、自然资源资产离任审计']
"现在一些干部出现“不严不实”问题,根子在于().","['用权不当', '理想缺失', '精神懈怠', '党性缺失']",['党性缺失']
"2013年11月,作出《关于全面深化改革若干重大问题的决定》的会议是()","['中共十八届一中全会', '中共十八届二中全会', '中共十八届三中全会', '中共十八届四中全会']",['中共十八届三中全会']
"2017年4月18日,中央全面深化改革领导小组第三十四次会议指出,促进()现代农业经营体系加快发展.","['农户家庭经营型', '社会化服务型', '合作与联合型', '立体式复合型']",['立体式复合型']
()是锤炼党性修养和作风品行的重要方式.,"['志存高远', '心存敬畏', '严以思过']",['心存敬畏']
"2017年4月18日,中央全面深化改革领导小组第三十四次会议指出,()是帮助农民、提高农民、富裕农民的重要途径.","['完善财政税收政策', '构建社会化服务体系', '优化科技帮扶政策', '构建培育新型农业经营主体政策体系']",['构建培育新型农业经营主体政策体系']
"1980年11月,在中纪委召开的座谈会上,()指出;“执政党的党风问题是有关党的生死存亡的问题”3","['彭真', '陈云', '李先念']",彭真
"2017年5月26日下午,中共中央政治局就推动形成绿色发展方式和生活方式进行第四十一次集体学习.习近平在主持学习时强调,要落实领导干部()","['A、任期生态保护责任制', 'B、任期生态补偿责任制', 'C、任期生态文明建设责任制', 'D、任期生态红线责任制']",['C、任期生态文明建设责任制']
"作风问题具有(),必须经常抓、长期抓.","['反复性和顽固性', '隐蔽性和复杂性', '显著性和蔓延性', '腐蚀性和渗透性']",['反复性和顽固性']
"2004年9月,中共十六届四中全会提出的战略任务是()","['构建社会主义和谐社会', '全面建设小康社会', '建设社会主义新农村', '建立社会主义市场经济体制']",['构建社会主义和谐社会']
"2017年4月18日,中央全面深化改革领导小组第三十四次会议指出,要以()为核心,完善固体废物进口管理制度,加强固体废物回收利用管理,发展循环经济.","['A、维护国家生态环境安全和人民群众身体健康', 'B、分行业分种类', 'C、固体废物进口时间表', 'D、经济发展需要']",['A、维护国家生态环境安全和人民群众身体健康']
"2017年4月18日,中央全面深化改革领导小组第三十四次会议指出,现代农业经营体系的纽带是()","['合作和联合', '农户家庭经营', '社会化服务', '承包与合作']",['合作和联合']
"1939年7月7日,中共中央发表《为抗战两年纪念对时局宣言》,()<spanid=""__kindeditor_bookmark_start_6__""></span>()等主张.9月16日,毛泽东将以上三点主张概括为三大政治口号.()()()","['联俄', '联共', '扶助农工', '联美']","['联俄', '联共', '扶助农工']"
"党在社会主义初级阶段的基本路线,简明概括为“一个中心,两个基本点”,是实现社会主义现代化奋斗目标的基本途径.","['正确', '错误']",['正确']
