question,options,right_answer
"实施创新驱动发展战略,要加大政府科技投入力度,引导企业和社会增加研发投入.()","['正确', '错误']",正确
"要长期坚持、不断发展我国社会主义民主政治,积极稳妥推进政治体制改革,推进社会主义民主政治,保证人民依法通过各种途径和形式管理国家事务,管理经济文化事业,管理社会事务,巩固和发展生动活泼、安定团结的政治局面.","['系统化', '制度化', '规范化', '程序化', '现代化', '机械化']","['制度化', '规范化', '程序化']"
"实施创新驱动发展战略,关键是要大幅提高自主创新能力,努力掌握关键核心技术.()","['正确', '错误']",正确
"实施健康中国战略.积极应对人口老龄化,构建政策体系和社会环境,推进医养结合,加快老龄事业和产业发展.","['养老', '孝老', '敬老', '爱老']","['养老', '孝老', '敬老']"
"坚持党的领导、人民当家作主、依法治国有机统一,要改进党的领导方式和执政方式,保证党领导人民有效治理国家；扩大人民有序政治参与,保证人民依法实行(&nbsp;)；维护国家法制统一、尊严、权威,加强人权法治保障,保证人民依法享有广泛权利和自由.","['民主选举', '民主协商', '民主决策', '民主管理', '民主监督', '以德治国']","['民主选举', '民主协商', '民主决策', '民主管理', '民主监督']"
"2016年习近平强调,发展长期健康稳定的中美关系,符合两国人民根本利益,也是国际社会普遍期待.","['正确', '错误']",['正确']
"64.要坚持把改革的力度、发展的速度和社会可承受的程度统一起来,把社会稳定作为正确处理改革发展稳定关系的结合点.()","['正确', '错误']",['错误']
"170.要坚持和完善基本经济制度,增强公有制经济特别是国有经济发展活力,鼓励、支持、引导非公有制经济发展.()","['正确', '错误']",['正确']
"50.习近平指出,军队要坚决完成担负的各项军事斗争任务,以国家核心安全需求为导向,按照“能打仗、打胜仗”的要求,真抓实备、常备不懈,扎实推进军事斗争准备各项工作.()","['正确', '错误']",['正确']
"突破利益固化的藩篱,吸收人类文明有益成果,构建、、、的制度体系,充分发挥我国社会主义制度优越性.","['系统完备', '性能完善', '科学规范', '运行有效']","['系统完备', '科学规范', '运行有效']"
"294.党的十八届三中全会的一个重大突破,就是市场要在资源配置中起决定性作用.()","['正确', '错误']",['正确']
"有效维护国家安全,要严密防范和坚决打击各种.","['暴力恐怖活动', '渗透颠覆破坏活动', '民族分裂活动', '民族分裂活动']","['暴力恐怖活动', '渗透颠覆破坏活动', '民族分裂活动']"
"十九大报告指出：要相互尊重、平等协商,坚决摒弃冷战思维和强权政治,走()的国与国交往新路.","['对话而不对抗', '共赢而不共损', '结伴而不结盟', '同行而不独行']","['对话而不对抗', '结伴而不结盟']"
"习近平2016年对食品安全工作作出重要指示强调,确保食品安全是民生工程、民心工程,是各级党委、政府义不容辞之责.近年来,各相关部门做了大量工作,取得了积极成效.当前,我国食品安全形势依然严峻,人民群众热切期盼吃得更放心、吃得更健康.2016年是“十三五”开局之年,要牢固树立以人为本的发展理念,坚持党政同责、标本兼治,加强统筹协调,加快完善统一的监管体制和制度,落实“四个最严”的要求,切实人民群众“舌尖上的安全”.","['正确', '错误']",['正确']
"对共产党人来说,讲“认真”不仅是态度问题,而且是关系世界观和方法论的大问题,是关系党的性质和宗旨的大问题,是关系党和人民事业发展全局的大问题.()","['正确', '错误']",['正确']
"和平发展是中国特色社会主义的本质属性,所以必须团结一切可以团结的力量,最大限度增加和谐因素,增强社会创造活力,确保国家长治久安.()","['正确', '错误']",['错误']
"2016年习近平强调,我们要重视家庭文明建设,努力使千千万万个家庭成为国家发展、民族进步、社会和谐的重要基点,成为人们梦想启航的地方.要动员社会各界广泛参与家庭文明建设,推动形成爱国爱家、相亲相爱、向上向善、共建共享的社会主义家庭文明新风尚.","['正确', '错误']",['正确']
"建设一支、、的人民军队,是实现“两个一百年”奋斗目标、实现中华民族伟大复兴的战略支撑.","['听党指挥', '骁勇善战', '能打胜仗', '作风优良']","['听党指挥', '能打胜仗', '作风优良']"
"实现中华民族伟大复兴,必须让党和人民事业始终充满奋勇前进的强大动力.","['合乎时代潮流', '顺应人民意愿', '勇于改革开放', '坚持创新']","['合乎时代潮流', '顺应人民意愿', '勇于改革开放']"
"推进绿色发展,需要落实节能减排,以下符合这一要求的举措有().","['淘汰、调整落后和过剩产能', '积极发展新能源', '大力扶持晶元、面板等高新行业', '发展人工智能产业']","['淘汰、调整落后和过剩产能', '积极发展新能源', '大力扶持晶元、面板等高新行业', '发展人工智能产业']"
33.我国现行宪法可以追溯到１９５１年具有临时宪法作用的《中国人民政治协商会议共同纲领》和１９５４年一届全国人大一次会议通过的《中华人民共和国宪法》.(),"['正确', '错误']",['错误']
"十九大报告指出,加快完善社会主义市场经济体制,要求经济体制改革必须以和为重点,实现产权有效激励、要素自由流动、价格反应灵活、竞争公平有序、企业优胜劣汰.","['完善产权制度', '国有企业改革', '要素市场化配置', '国有资产管理体制']","['完善产权制度', '要素市场化配置']"
"74.要防止和克服地方和部门保护主义、本位主义,决不允许“上有政策、下有对策”,决不允许有令不行、有禁不止,决不允许在贯彻执行中央决策部署上打折扣、做选择、搞变通.()","['正确', '错误']",['正确']
"习近平2016年对神华宁煤煤制油示范项目建成投产作出重要指示,这一重大项目建成投产,对我国增强能源自主保障能力、推动煤炭清洁高效利用、促进民族地区发展具有重大意义,是对能源安全高效清洁低碳发展方式的有益探索,是实施创新驱动发展战略的重要成果.","['正确', '错误']",['正确']
"80.要广泛听取群众意见和建议,自觉接受群众评议和社会监督.群众不满意的地方就要及时整改.","['正确', '错误']",['正确']
"中国人民对战争带来的苦难有着刻骨铭心的记忆,对和平有着孜孜不倦的追求,十分珍惜和平安定的生活.中国人民怕的就是动荡,求的就是稳定,盼的就是天下太平.()","['正确', '错误']",['正确']
社会保障体系的要求是.,"['覆盖全民', '城乡统筹', '权责清晰', '保障适度', '可持续']","['覆盖全民', '城乡统筹', '权责清晰', '保障适度', '可持续']"
