question,options,right_answer
"2023年中国网络文明大会在福建省厦门市举行,在上午举行的主论坛上发布了《中国网络文明发展报告2023》.","['正确', '错误']",['正确']
"我们必须()、弘扬新风正气,让健康向上的校园网络文化充盈网络空间.","['厚植校园文化土壤', '深植校园文化根基', '厚培校园文化土壤', '深耕校园文化土壤']",['厚植校园文化土壤']
"2023年中国网络文明大会主题是“网聚文明力量,奋进伟大征程”","['正确', '错误']",['正确']
"7月18日,2023年中国网络文明大会在()市举行.","['福建厦门', '福建泉州', '福建福州', '福建宁德']",['福建厦门']
"网络空间行为规范持续加强.压紧压实网站平台主体责任,互联网企业行业自律及企业社会责任履行成效明显.持续推进网络伦理建设,加强网络行为规范,青少年等重点群体网络素养显著增强.","['正确', '错误']",['正确']
"入开展时代楷模、道德模范、凡人善举等网上宣传,加快推进网络诚信建设,深入实施网络公益工程,网络空间道德建设蔚然成风,崇德向善、见贤思齐成为亿万网民的共同价值追求.","['正确', '错误']",['正确']
"深入开展时代楷模、道德模范、凡人善举等网上宣传,加快推进()建设,深入实施网络公益工程,网络空间道德建设蔚然成风,崇德向善、见贤思齐成为亿万网民的共同价值追求.","['网络诚信', '网络空间行为规范', '网络空间文化建设', '网络空间思想']",['网络诚信']
"《侵权责任法》第三十六条第二款规定,网络用户利用网络服务实施侵权行为的,被侵权人有权通知网络提供者采取的必要措施有().","['删除', '屏蔽', '关闭网站', '断开链接']","['删除', '屏蔽', '断开链接']"
123456,"['1', '2', '3', '4']",['1']
"中国互联网络信息中心(CNNIC)发布第48次《中国互联网络发展状况统计报告》显示,截至2021年6月,我国()网民规模达1","['6岁至19岁', '7岁至20岁', '8岁至19岁', '9岁至18岁']",['6岁至19岁']
网吧不能对哪种人群开放？(),"['18岁以上', '20岁以上', '18岁以下', '20岁以下']",['18岁以下']
2023年中国网络文明大会在天津举办.,"['正确', '错误']",['错误']
