question,options,right_answer
"1964年12月至1965年1月,三届全国人大一次会议举行.这次会议提出了()的任务.","['调整国民经济', '建设工业化国家', '实现四个现代化']",['实现四个现代化']
"1978年12月召开的党的十一届三中全会,是新中国成立以来党的历史上具有深远意义的伟大转折.这次会议确定把全党的工作重点转移到()上来.","['社会主义现代化建设', '拨乱反正', '对外开放']",['社会主义现代化建设']
"在中共七大会议上,毛泽东作了()的政治报告.","['《论统一战线》', '《关于修改党的章程》', '《论联合政府》']",['《论联合政府》']
"1979年,邓小平在中共中央召开的理论务虚会上作了《坚持四项基本原则》的讲话.四项基本原则的内容是：()","['坚持改革开放、坚持党的领导、坚持社会主义、坚持人民民主专政.', '坚持改革开放、坚持党的领导、坚持社会注意、坚持群众路线.', '坚持党的领导、坚持社会主义、坚持人民民主专政、坚持马列主义毛泽东思想.']",['坚持党的领导、坚持社会主义、坚持人民民主专政、坚持马列主义毛泽东思想.']
&nbsp;2017年博鳌亚洲论坛年会的主题是(),"['直面全球化与自由贸易的未来', '亚洲新未来：新活力与新愿景', '亚洲新未来:迈向命运共同体', '寻找和释放发展新动力']",['直面全球化与自由贸易的未来']
"1978年12月,中央决定成立()委员会,并选举陈云为第一书记.","['中央纪律检查', '发展和改革', '国家计划']",['中央纪律检查']
()通过的《中国共产党党章》是我党独立自主制定的第一部党章.,"['一大', '六大', '七大']",['七大']
"在党内组织秘密集团或者组织其他分裂党的活动,违反了党的().","['政治纪律', '组织纪律', '工作纪律']",['政治纪律']
坚持四项基本原则的核心是坚持().,"['党的领导', '无产阶级专政', '社会主义']",['党的领导']
国共两党实现第二次合作的标志是().,"['西安事变的和平解决', '八一三事变后国民政府发表自卫声明', '国民党公布《中共中央为公布国共合作宣言》并发表蒋介石谈话']",['国民党公布《中共中央为公布国共合作宣言》并发表蒋介石谈话']
"中共七大在党的历史上具有重大意义,其中表述不准确的是()","['确立毛泽东思想为党的指导思想', '做出了把党和国家工作重心转移到城市的决定', '实现了全党空前的团结和统一']",['做出了把党和国家工作重心转移到城市的决定']
"党的十一届三中全会以后,邓小平围绕()这个主题,第一次比较系统地初步回答了在中国这样的经济文化比较落后的国家,如何建设、巩固和发展社会主义的一系列基本问题,用新的思想、观点,继承和发展了马列主义、毛泽东思想.","['和平与发展', '什么是社会主义、怎样建设社会主义', '改革和开放']",['什么是社会主义、怎样建设社会主义']
新民主主乂革命的性质是无产阶级社会主义革命.,"['正确', '错误']",['错误']
"1975年,邓小平部署以()为突破口,对各条战线进行整顿.","['军队整顿', '铁路整顿', '农业整顿']",['铁路整顿']
&nbsp;第一个同新中国签署政府间贸易协定的西方国家是(),"['芬兰', '荷兰', '德国', '英国']",['芬兰']
中共七大指出党的政治路线是(),"['“放手发动群众,壮大人民力量,在我党的领导下,打败日本侵略者,解放全国人民,建立一个新民主主义的新中国.”', '“放手发动群众,实行土地革命,建立苏维埃.”', '“放手发动群众,夺取抗战的最后胜利.”']","['“放手发动群众,壮大人民力量,在我党的领导下,打败日本侵略者,解放全国人民,建立一个新民主主义的新中国.”']"
国家安全的底线思维就是(),"['稳定压倒一切', '人民安全为中心', '消除一切矛盾', '最大限度团结各族群众']",['稳定压倒一切']
"针对“文化大革命”结束后,经济建设中出现的“左倾”冒进的错误,党的十一届三中全会强调,当前的经济工作要做到().","['加大基本建设投资和宏观调控的力度', '综合平衡,基本建设必须积极而又量力地循序进行', '深化改革,调整结构,提高效益,扩大内需']","['综合平衡,基本建设必须积极而又量力地循序进行']"
"(),我国成功地爆炸第一颗原子弹,有力地打破了超级大国的核垄断和核讹诈,提高了我国的国际地位.","['1964年10月6日', '1965年10月16日', '1964年10月16日']",['1964年10月16日']
"延安整风运动,其主要内容不包括()","['反对主观主义以整顿学风', '反对宗派主义以整顿党风', '反对军阀主义以整顿军风']",['反对军阀主义以整顿军风']
"下列关于对延安整风运动的表述,不正确的是()","['是一次全党范围内的马克思主义思想教育运动', '是破除党内把马克思主义教条化的伟大思想解放运动', '确立了毛泽东思想为全党的指导思想']",['确立了毛泽东思想为全党的指导思想']
"抗日战争胜利后,国共两党经过重庆谈判,于1945年10月10日签署了(),即双十协定.","['《政府与中共代表会谈纪要》', '《国共停战协定》', '《和平建国纲领》']",['《政府与中共代表会谈纪要》']
"1958年5月,()正式提出“鼓足干劲、力争上游、多快好省地建设社会主义”的总路线.会后,以片面追求工农业生产和建设的高速度,大幅度地提高和修改计划指标为标志的“大跃进”运动在全国范围内开展起来.","['党的八届三中全会', '成都会议', '党的八大二次会议']",['党的八大二次会议']
全国开展“向雷锋同志学习”的热潮始于().,"['1963年', '1964年', '1965年']",['1963年']
