question,options,right_answer
"在长征途中,为突破敌人的第四道封锁线,打了一场非常艰苦的战役--湘江战役.我红五军团第三十四师作为全军总后卫,因来不及过江,被蜂拥而至的敌人重重包围,全体指战员浴血奋战,弹尽粮绝,绝大部分同志壮烈牺牲.请问红三十四师绝大部分由何籍贯人组成？()","['三明人', '闽西人', '福州人', '闽南人']",['闽西人']
"近年来,美国奥巴马政府推行()战略,使得整体对外贸易逆差规模有较大减少.","['扩大出口', '减小出口', '增加投资', '扩大内需']",['扩大出口']
"《习近平关于党风廉政建设和反腐败斗争论述摘编》强调,无论是党委还是纪委或其他相关职能部门,都要对承担的党风廉政建设责任进行签字背书,做到()","['漠不关心', '守土有责', '能推就推']",['守土有责']
"“当一个崛起的大国与既有的统治霸主竞争时,双方面临的危险多数以战争告终”,这就是著名的().","['修昔底德陷阱', '刘易斯拐点', '恩格尔系数', '刘易斯陷阱']",['修昔底德陷阱']
"2018年俄罗斯世界杯15日晚上演争冠之战,()自1998年之后再次捧起大力神杯.","['法国队', '德国队', '克罗地亚队', '葡萄牙队']",['法国队']
"欧盟委员会警告,若美国政府以惩罚性关税打击汽车进口,可能引发全球对高达近()元的美国出口产品展开报复.","['2000亿', '2500亿', '3000亿', '4500亿']",['3000亿']
现在中国共产党的党内存在的主要突出矛盾和问题是().,"['少数党员信仰迷茫', '有些人无视党的纪律和规矩', '在制度建设方面失之过宽', '以上都是']",['以上都是']
"红军长征后,敌人先后在江西、湖南、广东、广西之间设置了()道坚固的封锁线阻拦红军.当中央红军以血肉之躯突破敌人的最后一道封锁线时,人员已经由出发时的8.6万锐减到3余人.","['3', '4', '5']",['4']
中国根本无法跨越“修昔底德陷阱”.(),"['对', '错']",['错']
"经李克强总理签批,国务院日前印发《打赢蓝天保卫战三年行动计划》,明确了大气污染防治工作的()、()、()和保障措施,提出了打赢蓝天保卫战的时间表和路线图.","['基本目标、主要任务、总体思路', '总体思路、基本目标、主要任务', '主要任务、基本目标、总体思路', '总体思路、主要任务、主要任务']",['总体思路、基本目标、主要任务']
农业污染主要来源于畜牧养殖和过量的化肥使用.(),"['正确', '错误']",['正确']
"《条例》明确了对违法犯罪党员的纪律处分,以下说法正确的是()","['品德教育', '知识教育', '能力培养', '爱国主义教育']",['品德教育']
"日前雄安新区面向全球征集启动区城市设计方案,应征资格预审截至7月22日,限定12个名额.其中,重点片区城市设计范围约28平方公里(含18平方公里城市建设用地和10平方公里生态空间).规划设计周期约()天,预计在2018年8月1日开始并同时组织项目介绍会和现场踏勘.","['30', '60', '90', '120']",['90']
"公正、法治是社会的应然状态,是保障公民权利的武器、维护国家稳定的法宝.","['对', '错']",['对']
"2014年5月,习近平总书记在河南考察时首次以“新常态”来描述新周期中的中国经济.","['对', '错']",['对']
"在第五次反“围剿”战斗中在泰宁境内曾有一起红军以少胜多的阻击战,当时敌我双方的兵力是我方以一营又一大队对敌三个团(4000余人)兵力,请问这场战役发生在泰宁的什么地方？()","['泰宁县城', '邱洪', '大洋嶂', '新桥']",['大洋嶂']
"“2018感知中国——中国西部文化美国行”综合文化交流活动连日来在美国()以及迈阿密举行.活动内容包括“光影印象”图片展、“霓裳之美”民族服饰展、“丝路乐语”民族乐器展等.活动从不同角度展示中国西部的自然风光、民族文化、社会经济和人民生活,为美国当地民众了解中国西部文化提供了窗口.","['休斯敦', '波士顿', '纽约', '芝加哥']",['休斯敦']
"青年是祖国的未来,民族的希望,也是我们党的未来和希望.","['对', '错']",['对']
"北约峰会于7月11日至12日在()举行.峰会前夕,美国总统特朗普“炮轰”欧洲国家在军费开支上“不出力”、在贸易问题上“占美国便宜”.在会场内外,特朗普持续施压,要求北约盟友立即实现防务支出占国内生产总值(GDP)2%的目标,更提出“最终目标是4%”.","['英国', '法国', '德国', '比利时']",['比利时']
"《中国的民主》白皮书指出,中国的民主发展取得了显著成就,同时,与现代化建设的新要求、与人民对民主的新期待相比,中国的民主还需要不断发展完善.在全面建设社会主义现代化国家新征程上,中国共产党将继续高举()旗帜,始终坚持以人民为中心的发展思想,坚定不移推进全过程人民民主,在不断推动人的全面发展、全体人民共同富裕中实现(),让民主之树根深叶茂、永远常青.","['人民民主', '民主新发展', '中国梦']","['人民民主', '民主新发展']"
"中国农业科学院日前首次发布《中国农业产业发展报告》.报告预测到2035年我国可确保()的底线要求,主要畜产品和水产品的自给率大致保持在90%以上.","['“粮食绝对安全,谷物基本自给”', '“粮食绝对安全,豆类基本自给”', '“粮食基本安全,肉蛋基本自给”', '“口粮绝对安全,谷物基本自给”']","['“口粮绝对安全,谷物基本自给”']"
"新一届中共中央领导集体的治国理政方略中,将如何建立新型的国际关系？()","['坚持走和平发展道路', '按照亲、诚、惠、容理念推进周边外交', '坚决维护国家核心利益,决不会牺牲国家核心利益', '以上都对']",['以上都对']
