question,options,right_answer
"党的地方各级纪律检查委员会和基层纪律检查委员会如果对同级党的委员会处理案件的决定有不同意见,可以请求()予以复查.","['中央纪律检查委员会', '上一级纪律检查委员会', '上一级党的委员会']",['上一级纪律检查委员会']
"()国家恢复高考制度,全国高校重新通过同意考试招收新生.","['1977年', '1978年', '1979年', '1980年']",['1977年']
"强化不能腐的震慑,扎牢不想腐的笼子,增强不敢腐的自觉,通过不懈努力换来海晏河清、朗朗乾坤.","['正确', '错误']",['错误']
明确提出中国共产党在民主革命时期纲领的是(),"['中共一大', '中共二大', '中共三大', '中共四大']",['中共二大']
"2017年,习近平在中国共产党第十八届中央纪律检查委员会第七次全体会议上指出,从不敢、不能到不想,要靠铸牢()这个共产党人的魂.","['路', '力', '魂', '神']",['魂']
毛泽东思想被确立为党的指导思想是在中共二大.,"['正确', '错误']",['错误']
"1986年11月,我国政府决定进一步增加对外国人开放的地区,由244个增加到().","['300个', '395个', '436个']",['436个']
毛泽东思想是在()什么时期成熟的.,"['土地革命战争时期', '抗日战争中后期', '解放战争时期']",['抗日战争中后期']
"在人民解放军渡江作战时,()国“紫石英号”等四艘军舰阻碍我军渡江,受到解放军的痛击.","['美', '英', '法']",['英']
"中共“六大”批评了瞿秋白“左”倾盲动主义错误,正确指出国民革命失败后中国社会的性质仍然是半殖民地半封建社会.","['正确', '错误']",['正确']
惩治腐败应该坚持(),"['零容忍态度', '宽容态度', '救免态度', '有条件赦免态度']",['零容忍态度']
邓小平理论是当代中国毛泽东思想.,"['正确', '错误']",['错误']
下列哪些属于党内监督的主要内容(),"['遵守党章党规,坚定理想信念,践行党的宗自,模范遵守宪法法律情况', '维护党中央集中统一领导,牢固树立政治意识、大局意识、核心意识、看齐意识,贯彻落实党的理', '坚持民主集中制,严肃党内政治生活,贯彻党员个人服从党的组织,少数服从多数,下级组织服从上级组织,全党各个组织和全体党员服从党的全国代表大会和中央委员会原则情况', '落实全面从严治党责任,严明党的纪律特别！是政治纪律和政治规矩,推进党风廉政建设和反腐败工作情況']","['遵守党章党规,坚定理想信念,践行党的宗自,模范遵守宪法法律情况', '维护党中央集中统一领导,牢固树立政治意识、大局意识、核心意识、看齐意识,贯彻落实党的理', '坚持民主集中制,严肃党内政治生活,贯彻党员个人服从党的组织,少数服从多数,下级组织服从上级组织,全党各个组织和全体党员服从党的全国代表大会和中央委员会原则情况', '落实全面从严治党责任,严明党的纪律特别！是政治纪律和政治规矩,推进党风廉政建设和反腐败工作情況']"
下列关于党组的说法正确的有().,"['党组必须服从批准它成立的党组织领导', '党组只能设书记,不能设副书', '党组设书记,必要时还可以设副书记', '党组的成员,由批准成立党组的党组织决定']","['党组必须服从批准它成立的党组织领导', '党组设书记,必要时还可以设副书记', '党组的成员,由批准成立党组的党组织决定']"
中国革命胜利后建立的社会是社会主义社会,"['正确', '错误']",['错误']
"抗日战争胜利后,为争取全国人民渴望的和平民主,中国共产党和国民党举行了().","['重庆谈判', '延安谈判', '西安谈判']",['重庆谈判']
"深入贯彻落实科学发展观,要求我们().","['始终坚持“一个中心、两个基本点”的基本路线', '积极构建社会主义和谐社会', '继续深化改革开放', '切实加强和改进党的建设']","['始终坚持“一个中心、两个基本点”的基本路线', '积极构建社会主义和谐社会', '继续深化改革开放', '切实加强和改进党的建设']"
"()是第一个承认中华人民共和国,并与我国建立外交关系的国家.","['波兰', '苏联', '朝鲜', '保加利亚']",['苏联']
"2023年5月5日,二十届中央财经委员会第一次会议强调,加快建设以实体经济为支撑的现代化产业体系,关系我们在未来发展和国际竞争中赢得战略主动.要把握()等新科技革命浪潮,适应人与自然和谐共生的要求,保持并增强产业体系完备和配套能力强的优势,高效集聚(),推进产业(),建设具有()的现代化产业体系.","['人工智能', '全球创新要素', '智能化、绿色化、融合化', '完整性、先进性、安全性']","['人工智能', '全球创新要素', '智能化、绿色化、融合化', '完整性、先进性、安全性']"
"2017年,习近平在中国共产党第十八届中央纪律检查委员会第七次全体会议上强调,应从问题入手,深化改革,确保()在正确的轨道上运行.","['“两学一做”', '三严三实', '中央八项规定', '廉洁从政']",['中央八项规定']
"我国的社会主义建设,必须从我国的国情出发,走中国特色社会主义道路,以()全面推进中华民族伟大复兴.","['四个现代化', '中国化现代化', '全体人民共同富裕']",['中国化现代化']
"十八大以来,以习近平同志为主要代表的中国共产党人,坚持把马克思主义基本原理同()相结合、同()相结合,科学回答了新时代坚持和发展什么样的中国特色社会主义、怎样坚持和发展中国特色社会主义等重大时代课题,创立了习近平新时代中国特色社会主义思想.","['世界百年未有之大变局', '中华优秀传统文化', '党情国情世情', '中国具体实际']","['中华优秀传统文化', '中国具体实际']"
"建设生态文明必须从源头抓起,把作为根本之策.","['节约资源', '消耗资源', '降低污染', '减少排放']",['节约资源']
"坚持协调发展,必须牢牢把握中国特色社会主义事业总体布局,正确处理发展中的重大关系,重点促进城乡区域协调发展,促进经济社会协调发展,促进新型()、信息化、城镇化、农业现代化同步发展.","['工业化', '现代化', '智能化']",['工业化']
"要深化文化体制改革,完善文化管理体制,加快构建把经济效益放在首位、社会效益和经济效益相统一的体制机制.","['正确', '错误']",['错误']
中国特色社会主义文化“三个面向”是指什么(),"['面向现代化', '面向世界', '面向未来', '面向国际']","['面向现代化', '面向世界', '面向未来']"
"建国初期,人民政府为稳定市场,严厉打击投机倒把活动,经过银元之战、米棉之战,稳定了物价,结束了国民党统治自抗战以来物价暴涨的局面.","['正确', '错误']",['正确']
