question,options,right_answer
在十九大新闻发布会上提到我国实现全面脱贫的目标时间是().,"['2018年', '2019年', '2020年', '2022年']",['2020年']
"习近平总书记在第十八届中央纪律检查委员会第六次全体会议上的讲话上强调,全面从严治党首先要尊崇().","['党章', '宪法', '制度']",['党章']
十一届三中全会于哪一年哪一月份召开(),"['1977年11月', '1977年12月', '1978年11月', '1978年12月']",['1978年12月']
"坚持节约优先、保护优先、自然恢复为()的方针,坚持生产发展、生活富裕、生态良好的文明发展道路.","['先', '重', '主', '前']",['主']
"第二次青藏高原综合科学考察研究2017年8月19日在拉萨启动.青藏高原是世界屋脊、亚洲水塔,是地球第三极,是我国重要的生态安全屏障、战略资源储备基地,是中华民族特色文化的重要保护地.","['正确', '错误']",['正确']
加强党对教育工作的全面领导是办好教育的()保证,"['基本', '根本', '唯一', '关键']",['根本']
"十九大中提到的,我们要做到一个“实”字,以下不正确的是().","['脱贫实践落实', '脱贫过程必须扎实', '脱贫结果必须真实', '扶贫工作必须务实']",['脱贫实践落实']
"中国是工人阶级领导的、以工农联盟为基础的人民民主专政的社会主义国家,国家一切权力属于人民","['正确', '错误']",['正确']
"队严管理干部,特别是要把对的监督、管理作为重中之重.","['一把手', '重要领导', '重要岗位', '青年干部']",['一把手']
我国经济已由高速增长阶段转向低速发展阶段.,"['正确', '错误']",['错误']
"积极发展对外关系,努力为我国的改革开放和现代化建设争取有利的().","['外交关系', '政治环境', '国际氛围', '国际环境']",['国际环境']
党的十七大提出“更大程度更广泛范围发挥市场在资源配置中的基础性作用”,"['正确', '错误']",['错误']
全面开放是实现国家富强的根本出路,"['正确', '错误']",['正确']
全面建成小康社会需要突出抓重点、补短板、强弱项.,"['正确', '错误']",['正确']
"坚持人民群众主体地位,把人民群众满意作为检验工作的根本目标","['正确', '错误']",['错误']
"中国坚定不移走和平发展道路,始终不渝奉行互利共赢的开放战略,在和平共处五项原则基础上发展同世界各国友好合作.中国始终是维护地区和世界和平、促进共同发展的坚定力量.","['正确', '错误']",['正确']
"历史学家()博士认为,“挑战—应战”是人类文明发展的重要动因.","['汤因比', '汤艾比', '法婴', '法强']",['汤因比']
"生活奢靡、贪图享乐、追求低级趣味,造成不良影响的,给予警告或者严重警告处分;情节严重的,给予()处分","['开除党籍', '留党察看', '撤销党内职务', '留党察看或开除党籍']",['撤销党内职务']
"“一带一路”倡议的理念和方向,包括政策沟通、设施联通、贸易畅通、资金融通、民心相通,同2030年可持续发展议程高度契合","['正确', '错误']",['正确']
党的领导主要是()的领导.,"['政治、经济和文化', '政治、思想和组织', '政治、国防和外交', '政治、思想和国防']",['政治、思想和组织']
"创新驱动发展战略大力实施,天宫、蛟龙、天眼、悟空、墨子、大飞机等重大科技成果相继问世.","['正确', '错误']",['正确']
党的十九大主席团在()举行第二次会议,"['10月20日', '10月21日', '10月22日', '10月19日']",['10月20日']
"实现民族振兴,赢得国际竞争主动权的战略资源是以下哪项()","['科学技术', '和平稳定', '人才', '对外开放']",['人才']
民间外交是推进文明交流互鉴最深厚的力量,"['正确', '错误']",['正确']
"()是中国颂扬俄国十月革命的第一人.他预言：“试看将来的环球,必是赤旗的世界!”","['李大钊', '毛泽东', '陈独秀', '瞿秋白']",['李大钊']
充分发挥人民解放军在巩固国防、保卫祖国和参加社会主义()中的作用.,"['现代化建设', '经济建设', '国防建设', '社会建设']",['现代化建设']
"从严治党靠教育,也靠","['改革', '制度', '惩治', '法治']",['制度']
