question,options,right_answer
我国人民行使国家权力的机关是国务院.(),"['正确', '错误']",['错误']
下列不属爱国人士的是(),"['汪精卫', '钱学森', '吉鸿昌', '邓稼先']",['汪精卫']
在公共道路、露天公共场所列队行进、表达共同意愿的活动称为().,"['游行', '集会', '示威', '结社']",['游行']
"1904年,孙中山发表的指出只有推翻清政府,建立“中华民国”,才能真正解决中国问题的文章是()","['《革命军》', '《警世钟》', '《驳康有为论革命书》', '《中国问题的真解决》']",['《中国问题的真解决》']
新时期的爱国主义体现在爱国主义与拥护国家统一的一致性.(),"['正确', '错误']",['正确']
"墨家提倡“察色修身”,反映的是中华民族()优良道德传统.","['追求精神境界,把道德理想的实现看成是一种高层次的需要', '重视道德践履,强调修养的重要性,倡导道德主体要在完善自身中发挥自己的能动作用', '讲求谦敬礼让,强调克骄防矜', '倡导言行一致,强调恪守诚信']","['重视道德践履,强调修养的重要性,倡导道德主体要在完善自身中发挥自己的能动作用']"
"全国人大常委会的组成人员中,应当有适当名额的少数民族代表.()","['正确', '错误']",['正确']
现阶段我国各族人民的共同理想是建设中国特色社会主义、实现两岸统一.(),"['正确', '错误']",['错误']
"爱因斯坦曾经指出：""一个人对社会的价值,首先取决于他的感情、思想和行动对增进人类利益有多大作用"".对此理解最恰当的是()","['一个人从社会获得的尊重和满足越多,他的社会价值越大', '一个人的社会价值越大,他的自我价值越小', '能力大的人才能实现社会价值', '一个人的社会价值主要在于他对社会做出的贡献']",['一个人的社会价值主要在于他对社会做出的贡献']
"大学生应当在自身思想道德和文化修养的同时,不断强化自己的法律修养,做一个尊法学法的人.()","['正确', '错误']",['错误']
"1931年1月至1935年1月,中国共产党内出现的主要错误倾向是()","['“左”倾盲动主义', '右倾保守主义', '“左”倾教条主义', '右倾投降主义']",['“左”倾教条主义']
道德的认识功能是道德最突出也是最重要的社会功能.(),"['对', '错']",['错']
在国家法律体系中居于核心地位、具有最高法律效力的是().,"['宪法', '刑法', '行政法', '经济法']",['宪法']
"今天,只要正确处理好经济发展问题,就能够引导人们正确对待个人利益和社会利益、国家利益,投身到社会主义建设事业中去.()","['正确', '错误']",['错误']
"1949年9月21日,在北平中南海怀仁堂开幕的会议为()","['第一届全国人民代表大会第一次会议', '中共中央政治局扩大会议', '中共七届三中全会', '中国人民政治协商会议第一届全体会议']",['中国人民政治协商会议第一届全体会议']
在粉碎帝国主义列强瓜分中国的斗争中发挥了重大的历史作用的事件是(),"['义和团运动', '戊戌维新', '太平天国运动', '辛亥革命']",['义和团运动']
婚姻自由权属于普通权利.(),"['正确', '错误']",['正确']
社会主义法律是人类历史上唯一以公有制为基础的新型法律.(),"['正确', '错误']",['正确']
"自觉遵守规章制度、清正廉洁,不谋私利,不滥用职权,不损人利己,不假公济私等.这是职业道德中().","['爱岗敬业的要求', '诚实守信的要求', '办事公道的要求', '服务群众的要求']",['办事公道的要求']
"中国的抗日战争对世界反法西斯战争的胜利做出了巨大贡献,突出表现在()","['中国战场最广大', '中国抗日战争最艰苦', '中国反法西斯战争时间最长', '中国战场对日本法西斯的牵制']",['中国战场对日本法西斯的牵制']
在社会道德建设中具有基础性作用的是(),"['社会公德', '职业道德', '家庭美德', '个人品德']",['个人品德']
"在现代法治国家中,不存在纯粹的权利主体,也不存在纯粹的义务主体.正确理解法律权利与法律义务的关系().","['法律权利与法律义务是各自独立的', '法律权利和法律义务还具有二重性的关系,即一个行为可以同时是权利行为和义务行为', '法律权利与法律义务是目的与手段的关系', '法律权利和法律义务是相互依存的关系,法律权利的实现必须以相应法律义务的履行为条件.']","['法律权利和法律义务还具有二重性的关系,即一个行为可以同时是权利行为和义务行为', '法律权利与法律义务是目的与手段的关系', '法律权利和法律义务是相互依存的关系,法律权利的实现必须以相应法律义务的履行为条件.']"
"关于民族自治地方的人民代表大会的立法权限,下列表述中正确的是.()","['自治州的人民代表大会及其常务委员会有权制定单行条例', '自治区人民代表大会常务委员会有权制定自治条例', '自治县的人民代表大会有权制定地方性法规', '自治区、自治州、自治县的人民代表大会有权依照当地民族的政治、经济和文化的特点,制定自治条例和单行条例']","['自治区、自治州、自治县的人民代表大会有权依照当地民族的政治、经济和文化的特点,制定自治条例和单行条例']"
"2015年,大学生闫某掏了家门口树上的16只幼鸟贩卖,因小鸟是国家二级保护动物燕隼,(闫某辩称不知道是燕隼),最终他因猎贩行为获刑10年.《刑法》规定：非法捕猎、杀害国家重点保护的珍贵、濒危野生动物,情节特别严重的,将被处十年以上有期徒刑.最高人民法院对此也有解释：非法捕猎隼类10只以上就视为情节特别严重.","['大学生年纪尚小,应给予改过自新的机会,量刑过重', '不知者不为罪.', '人人都有学习法律的义务,不能因为不知道某种行为是犯罪而免责,“不知者不罪”是不能成立的.', '从犯罪手段、主观恶意、情节严重、获利多少等方面考量,量刑太重,当地司法系统是小题大做.']","['人人都有学习法律的义务,不能因为不知道某种行为是犯罪而免责,“不知者不罪”是不能成立的.']"
